LocationID,zone,borough,longitude,latitude
1,Newark Airport,EWR,-74.17400027276302,40.69183120640153
2,Jamaica Bay,Queens,-73.83129854302207,40.61674529165981
3,Allerton/Pelham Gardens,Bronx,-73.84742223236715,40.864473684775454
4,Alphabet City,Manhattan,-73.97696825691766,40.7237521415848
5,Arden Heights,Staten Island,-74.18848410184924,40.552659286945634
6,Arrochar/Fort Wadsworth,Staten Island,-74.0717705589513,40.60032414603461
7,Astoria,Queens,-73.9196943194606,40.76149256216373
8,Astoria Park,Queens,-73.92308615750753,40.778558653750736
9,Auburndale,Queens,-73.7879488777789,40.75103502557229
10,Baisley Park,Queens,-73.79098635986959,40.678953310115254
11,Bath Beach,Brooklyn,-74.00748815801177,40.604272840030774
12,Battery Park,Manhattan,-74.01556351255897,40.7029458349847
13,Battery Park City,Manhattan,-74.01607915192925,40.712038157074474
14,Bay Ridge,Brooklyn,-74.02989237418788,40.624834923608205
15,Bay Terrace/Fort Totten,Queens,-73.78597227877705,40.78333304726096
16,Bayside,Queens,-73.77342181890134,40.76273837544242
17,Bedford,Brooklyn,-73.94990503507508,40.69150749488065
18,Bedford Park,Bronx,-73.89018328872034,40.867682456075414
19,Bellerose,Queens,-73.72665537528711,40.73548677976339
20,Belmont,Bronx,-73.88586748106962,40.857779675441584
21,Bensonhurst East,Brooklyn,-73.98353709672233,40.601429439835165
22,Bensonhurst West,Brooklyn,-73.99525857986231,40.612218257805615
23,Bloomfield/Emerson Hill,Staten Island,-74.1708868815526,40.60644770102759
24,Bloomingdale,Manhattan,-73.96547951516968,40.80197049389964
25,Boerum Hill,Brooklyn,-73.98611382213664,40.68563374132064
26,Borough Park,Brooklyn,-73.98866123078288,40.63094965524548
27,Breezy Point/Fort Tilden/Riis Beach,Queens,-73.90690832237595,40.55913327946765
28,Briarwood/Jamaica Hills,Queens,-73.80872901637518,40.71159635794509
29,Brighton Beach,Brooklyn,-73.96121676866852,40.58092197193381
30,Broad Channel,Queens,-73.82192695679416,40.60368744213567
31,Bronx Park,Bronx,-73.87547595053037,40.8577466809159
32,Bronxdale,Bronx,-73.8649009987672,40.86400220602363
33,Brooklyn Heights,Brooklyn,-73.99525011996623,40.69579822121126
34,Brooklyn Navy Yard,Brooklyn,-73.97118869233036,40.70085573851714
35,Brownsville,Brooklyn,-73.91025783136135,40.664003117925986
36,Bushwick North,Brooklyn,-73.91771053131578,40.70052219951919
37,Bushwick South,Brooklyn,-73.92224002165723,40.69499431844211
38,Cambria Heights,Queens,-73.73555427058822,40.69434146723171
39,Canarsie,Brooklyn,-73.8997349566939,40.63803713911706
40,Carroll Gardens,Brooklyn,-73.99595619089148,40.679199014097094
41,Central Harlem,Manhattan,-73.95129200243511,40.80433394979461
42,Central Harlem North,Manhattan,-73.94077166756264,40.818257861119235
43,Central Park,Manhattan,-73.96555356545916,40.78247809974789
44,Charleston/Tottenville,Staten Island,-74.2335335493765,40.52549458176382
45,Chinatown,Manhattan,-73.99815149899047,40.71245931177948
46,City Island,Bronx,-73.78198714613217,40.84908594313967
47,Claremont/Bathgate,Bronx,-73.90031590586486,40.84274917609803
48,Clinton East,Manhattan,-73.98984464313301,40.762252755319366
49,Clinton Hill,Brooklyn,-73.9623635381836,40.687967457147465
50,Clinton West,Manhattan,-73.99513522075517,40.76623772504186
51,Co-Op City,Bronx,-73.82826367307186,40.87397305492024
52,Cobble Hill,Brooklyn,-73.99672403175194,40.68665124165606
53,College Point,Queens,-73.84281349543204,40.78091235579126
54,Columbia Street,Brooklyn,-74.00291127745284,40.68720074733727
55,Coney Island,Brooklyn,-73.98794343407195,40.57696075363783
56,Corona,Queens,-73.85884524943998,40.74140677482976
57,Corona,Queens,-73.85358156034266,40.751819366999456
58,Country Club,Bronx,-73.82039319252785,40.841452100682524
59,Crotona Park,Bronx,-73.89498588493974,40.83855028852789
60,Crotona Park East,Bronx,-73.88590003419152,40.83399047727385
61,Crown Heights North,Brooklyn,-73.93928705867957,40.674469418266476
62,Crown Heights South,Brooklyn,-73.94878853931499,40.66654040578564
63,Cypress Hills,Brooklyn,-73.8781726105025,40.683839761951035
64,Douglaston,Queens,-73.73933714992867,40.76061560532153
65,Downtown Brooklyn/MetroTech,Brooklyn,-73.98608600498395,40.695337529461135
66,DUMBO/Vinegar Hill,Brooklyn,-73.98570161582288,40.7022589388225
67,Dyker Heights,Brooklyn,-74.01380148744008,40.619619467835136
68,East Chelsea,Manhattan,-73.99991742024712,40.748427555065724
69,East Concourse/Concourse Village,Bronx,-73.91502929553266,40.831416697085196
70,East Elmhurst,Queens,-73.86839559842018,40.763352201133145
71,East Flatbush/Farragut,Brooklyn,-73.93796627061694,40.64428817438921
72,East Flatbush/Remsen Village,Brooklyn,-73.92225097400495,40.65236480407742
73,East Flushing,Queens,-73.80729418212229,40.75410888689297
74,East Harlem North,Manhattan,-73.93734560812497,40.801169480586516
75,East Harlem South,Manhattan,-73.94575026755157,40.79001075149546
76,East New York,Brooklyn,-73.87682061127194,40.660935196550525
77,East New York/Pennsylvania Avenue,Brooklyn,-73.89536411750328,40.66655893903529
78,East Tremont,Bronx,-73.88552181587427,40.84496041014611
79,East Village,Manhattan,-73.98593745682462,40.727620195909545
80,East Williamsburg,Brooklyn,-73.93679314491885,40.71536988214357
81,Eastchester,Bronx,-73.83664334408303,40.88093541148944
82,Elmhurst,Queens,-73.87711833280913,40.739495646778145
83,Elmhurst/Maspeth,Queens,-73.89217338112861,40.73832381382601
84,Eltingville/Annadale/Prince's Bay,Staten Island,-74.18767433468817,40.52868644656618
85,Erasmus,Brooklyn,-73.95162318261012,40.64611634689508
86,Far Rockaway,Queens,-73.75524369679601,40.60243279341673
87,Financial District North,Manhattan,-74.00749598562427,40.70680845166585
